iter	Passed	Remaining
0	146	146144
1	147	73766
2	149	49687
3	150	37553
4	152	30295
5	153	25495
6	155	22051
7	156	19457
8	158	17432
9	159	15804
10	161	14521
11	162	13409
12	164	12464
13	165	11664
14	167	10986
15	168	10385
16	170	9857
17	171	9375
18	173	8940
19	174	8554
20	175	8196
21	177	7876
22	178	7573
23	179	7297
24	180	7056
25	182	6828
26	183	6611
27	184	6406
28	185	6218
29	186	6045
30	188	5879
31	189	5724
32	190	5582
33	191	5447
34	193	5325
35	195	5223
36	196	5119
37	198	5016
38	199	4913
39	200	4818
40	202	4726
41	203	4638
42	204	4553
43	206	4477
44	207	4411
45	209	4343
46	210	4276
47	212	4208
48	213	4142
49	214	4078
50	215	4017
51	216	3955
52	218	3898
53	219	3846
54	220	3792
55	222	3743
56	223	3696
57	224	3651
58	226	3608
59	227	3562
60	228	3519
61	229	3479
62	231	3438
63	232	3400
64	233	3363
65	235	3332
66	236	3297
67	238	3263
68	239	3228
69	240	3194
70	241	3159
71	242	3126
72	244	3099
73	245	3070
74	246	3040
75	247	3012
76	249	2986
77	250	2965
78	252	2940
79	253	2914
80	254	2888
81	255	2861
82	256	2830
83	257	2806
84	258	2782
85	259	2758
86	260	2736
87	261	2713
88	263	2692
89	264	2672
90	265	2652
91	266	2634
92	268	2615
93	269	2597
94	270	2581
95	272	2562
96	273	2544
97	274	2526
98	275	2508
99	277	2493
100	278	2477
101	279	2463
102	281	2447
103	282	2431
104	283	2418
105	284	2402
106	286	2387
107	287	2372
108	288	2358
109	289	2344
110	290	2329
111	292	2316
112	293	2303
113	294	2289
114	295	2276
115	296	2262
116	298	2249
117	299	2236
118	300	2224
119	301	2212
120	302	2200
121	303	2186
122	305	2175
123	306	2165
124	307	2155
125	309	2144
126	310	2132
127	311	2122
128	312	2111
129	313	2100
130	314	2089
131	316	2079
132	317	2069
133	318	2059
134	319	2050
135	321	2041
136	322	2032
137	323	2022
138	325	2013
139	326	2003
140	327	1993
141	327	1981
142	328	1971
143	329	1961
144	330	1951
145	332	1942
146	333	1932
147	334	1924
148	335	1917
149	336	1908
150	337	1899
151	339	1891
152	340	1882
153	341	1874
154	342	1868
155	344	1861
156	345	1852
157	346	1845
158	347	1838
159	349	1832
160	350	1824
161	351	1817
162	352	1810
163	353	1804
164	355	1798
165	356	1791
166	357	1785
167	359	1779
168	360	1773
169	362	1768
170	363	1762
171	365	1757
172	366	1752
173	367	1746
174	369	1740
175	370	1733
176	371	1726
177	372	1719
178	373	1714
179	374	1707
180	376	1701
181	377	1696
182	378	1691
183	380	1685
184	381	1680
185	382	1674
186	383	1668
187	385	1663
188	386	1658
189	387	1653
190	389	1648
191	390	1644
192	392	1639
193	393	1635
194	394	1629
195	396	1624
196	397	1619
197	398	1613
198	399	1609
199	401	1604
200	402	1598
201	403	1594
202	404	1589
203	406	1586
204	407	1581
205	408	1575
206	410	1570
207	411	1565
208	412	1559
209	413	1554
210	414	1549
211	415	1544
212	416	1539
213	417	1533
214	418	1528
215	419	1523
216	420	1518
217	421	1513
218	422	1508
219	423	1503
220	425	1498
221	426	1494
222	427	1489
223	428	1485
224	430	1481
225	431	1476
226	432	1472
227	433	1467
228	434	1464
229	436	1460
230	437	1456
231	438	1452
232	439	1448
233	441	1444
234	442	1440
235	443	1436
236	444	1432
237	446	1428
238	447	1424
239	448	1421
240	450	1417
241	451	1413
242	452	1409
243	453	1405
244	454	1401
245	455	1396
246	456	1392
247	457	1387
248	458	1382
249	459	1378
250	460	1373
251	461	1369
252	462	1364
253	463	1361
254	464	1357
255	465	1353
256	466	1349
257	468	1346
258	469	1343
259	471	1340
260	472	1337
261	473	1333
262	474	1330
263	475	1326
264	477	1323
265	478	1319
266	479	1317
267	481	1314
268	482	1311
269	483	1308
270	485	1305
271	486	1302
272	488	1300
273	489	1297
274	491	1295
275	492	1292
276	494	1289
277	495	1286
278	496	1284
279	498	1281
280	499	1278
281	501	1275
282	502	1272
283	503	1269
284	504	1265
285	505	1263
286	507	1259
287	508	1256
288	509	1252
289	510	1249
290	511	1245
291	512	1242
292	513	1239
293	514	1235
294	515	1232
295	517	1229
296	518	1226
297	519	1224
298	521	1221
299	522	1219
300	523	1216
301	525	1213
302	526	1210
303	527	1207
304	528	1204
305	529	1201
306	531	1198
307	532	1196
308	533	1194
309	535	1191
310	536	1189
311	538	1186
312	539	1183
313	540	1181
314	541	1178
315	543	1176
316	544	1173
317	545	1170
318	547	1168
319	548	1166
320	550	1164
321	551	1161
322	552	1158
323	554	1156
324	555	1153
325	556	1151
326	558	1148
327	559	1146
328	561	1144
329	563	1143
330	564	1140
331	565	1138
332	566	1135
333	568	1133
334	569	1130
335	570	1128
336	572	1125
337	573	1123
338	575	1122
339	576	1119
340	578	1117
341	579	1114
342	580	1111
343	581	1108
344	582	1106
345	583	1103
346	585	1100
347	586	1098
348	587	1095
349	588	1092
350	589	1090
351	591	1088
352	592	1086
353	594	1084
354	595	1081
355	596	1079
356	597	1077
357	599	1075
358	600	1072
359	602	1070
360	603	1068
361	606	1068
362	607	1065
363	608	1063
364	609	1060
365	611	1058
366	612	1056
367	613	1053
368	614	1051
369	616	1048
370	617	1046
371	618	1044
372	619	1042
373	621	1039
374	622	1037
375	623	1034
376	624	1032
377	625	1029
378	626	1026
379	627	1024
380	630	1023
381	631	1021
382	633	1020
383	635	1019
384	636	1017
385	637	1014
386	639	1012
387	641	1011
388	642	1008
389	643	1006
390	644	1003
391	645	1001
392	647	999
393	648	998
394	650	996
395	652	994
396	653	992
397	655	991
398	656	989
399	658	987
400	659	985
401	660	982
402	661	980
403	664	979
404	665	977
405	666	974
406	667	972
407	668	969
408	669	967
409	670	965
410	672	963
411	673	961
412	676	960
413	677	959
414	679	957
415	680	955
416	681	953
417	683	951
418	684	949
419	685	946
420	686	944
421	688	943
422	690	941
423	692	940
424	693	938
425	695	937
426	696	935
427	698	933
428	700	932
429	701	930
430	703	928
431	705	926
432	706	924
433	707	923
434	709	921
435	710	918
436	711	917
437	713	914
438	714	912
439	715	910
440	716	907
441	717	905
442	719	904
443	720	902
444	722	900
445	723	899
446	725	897
447	726	895
448	728	893
449	729	891
450	730	889
451	731	887
452	734	886
453	735	884
454	737	882
455	738	881
456	739	879
457	741	877
458	742	875
459	743	873
460	745	871
461	746	869
462	748	868
463	749	866
464	751	864
465	753	863
466	754	861
467	755	859
468	757	857
469	758	855
470	759	853
471	761	851
472	762	849
473	764	848
474	765	845
475	766	843
476	767	841
477	769	840
478	770	838
479	772	836
480	773	834
481	775	833
482	777	831
483	778	830
484	780	828
485	781	826
486	783	825
487	784	822
488	785	820
489	787	819
490	789	818
491	790	816
492	792	814
493	793	812
494	794	810
495	795	808
496	798	807
497	800	806
498	801	804
499	802	802
500	803	800
501	805	798
502	806	796
503	808	795
504	809	793
505	810	791
506	812	789
507	813	788
508	815	786
509	816	784
510	817	782
511	819	780
512	820	779
513	822	777
514	823	775
515	824	773
516	827	772
517	828	771
518	830	769
519	831	767
520	833	766
521	835	764
522	836	762
523	837	760
524	838	758
525	840	757
526	841	754
527	842	752
528	843	750
529	844	748
530	845	747
531	847	745
532	849	743
533	850	742
534	852	741
535	854	739
536	855	737
537	856	735
538	858	733
539	859	732
540	861	730
541	862	728
542	863	727
543	865	725
544	866	723
545	867	721
546	869	719
547	870	718
548	871	716
549	873	714
550	874	713
551	876	711
552	877	709
553	878	707
554	879	705
555	880	703
556	882	701
557	883	699
558	883	697
559	885	695
560	886	693
561	887	691
562	888	689
563	890	688
564	892	686
565	893	685
566	895	683
567	897	682
568	899	681
569	900	679
570	901	677
571	904	676
572	905	674
573	907	673
574	908	671
575	909	669
576	911	667
577	912	666
578	913	664
579	915	662
580	917	661
581	918	659
582	919	657
583	920	656
584	922	654
585	923	652
586	924	650
587	925	648
588	927	647
589	928	645
590	930	643
591	932	642
592	933	640
593	934	638
594	935	637
595	937	635
596	938	633
597	939	631
598	941	630
599	942	628
600	944	626
601	945	625
602	947	623
603	948	621
604	950	620
605	952	619
606	953	617
607	955	615
608	956	614
609	957	612
610	959	610
611	960	609
612	962	607
613	964	606
614	966	604
615	968	603
616	969	601
617	970	599
618	971	598
619	972	596
620	974	594
621	975	593
622	977	591
623	978	589
624	979	587
625	981	586
626	982	584
627	984	582
628	985	581
629	986	579
630	988	577
631	990	576
632	991	574
633	993	573
634	995	572
635	996	570
636	997	568
637	998	566
638	1000	565
639	1001	563
640	1002	561
641	1004	560
642	1005	558
643	1007	556
644	1008	555
645	1010	553
646	1011	551
647	1013	550
648	1015	548
649	1016	547
650	1017	545
651	1018	543
652	1020	542
653	1021	540
654	1022	538
655	1024	537
656	1025	535
657	1026	533
658	1027	531
659	1029	530
660	1030	528
661	1031	526
662	1033	525
663	1034	523
664	1035	521
665	1037	520
666	1038	518
667	1040	516
668	1041	515
669	1042	513
670	1045	512
671	1046	510
672	1048	509
673	1050	508
674	1052	506
675	1053	505
676	1055	503
677	1056	501
678	1057	500
679	1059	498
680	1061	497
681	1062	495
682	1063	493
683	1065	492
684	1066	490
685	1068	489
686	1069	487
687	1070	485
688	1071	483
689	1073	482
690	1074	480
691	1076	479
692	1077	477
693	1079	475
694	1080	474
695	1082	472
696	1083	471
697	1084	469
698	1086	467
699	1088	466
700	1089	464
